CustomerID,Product,Category,Quantity,Price,Date
1070,Keyboard,Electronics,1,1200,2024-04-08
1097,Mouse,Electronics,1,500,2024-02-02
1081,Laptop,Electronics,3,55000,2024-04-08
1049,Backpack,Accessories,1,1200,2024-06-12
1097,Backpack,Accessories,4,1200,2024-06-01
1034,Tablet,Electronics,2,15000,2024-04-01
1027,Laptop,Electronics,3,55000,2024-06-29
1098,Headphones,Electronics,3,1500,2024-04-09
1094,Headphones,Electronics,4,1500,2024-06-08
1077,Tablet,Electronics,5,15000,2024-02-20
1097,Watch,Accessories,3,2500,2024-03-28
1085,Headphones,Electronics,4,1500,2024-03-08
1035,Headphones,Electronics,2,1500,2024-03-02
1048,Mouse,Electronics,3,500,2024-01-26
1008,T-shirt,Fashion,5,700,2024-05-27
1025,Tablet,Electronics,2,15000,2024-04-22
1095,Mouse,Electronics,4,500,2024-03-17
1095,Watch,Accessories,3,2500,2024-04-12
1011,Backpack,Accessories,1,1200,2024-04-17
1044,Mouse,Electronics,2,500,2024-02-24
1078,T-shirt,Fashion,2,700,2024-01-02
1088,Tablet,Electronics,5,15000,2024-04-26
1006,Backpack,Accessories,4,1200,2024-03-20
1040,Headphones,Electronics,1,1500,2024-03-19
1076,Keyboard,Electronics,1,1200,2024-04-19
1059,Laptop,Electronics,3,55000,2024-04-20
1066,Keyboard,Electronics,3,1200,2024-03-28
1092,Backpack,Accessories,4,1200,2024-01-08
1058,Laptop,Electronics,2,55000,2024-02-24
1017,Mobile,Electronics,2,20000,2024-02-10
1002,Watch,Accessories,5,2500,2024-05-30
1003,Mouse,Electronics,3,500,2024-06-17
1071,Backpack,Accessories,4,1200,2024-01-05
1074,Shoes,Fashion,1,3000,2024-05-21
1058,Backpack,Accessories,2,1200,2024-05-27
1032,Backpack,Accessories,4,1200,2024-02-06
1045,Mouse,Electronics,1,500,2024-02-25
1015,Mobile,Electronics,4,20000,2024-03-13
1029,Laptop,Electronics,2,55000,2024-02-19
1065,Shoes,Fashion,5,3000,2024-03-02
1002,Mobile,Electronics,3,20000,2024-03-09
1023,Mouse,Electronics,4,500,2024-02-03
1098,T-shirt,Fashion,4,700,2024-04-19
1028,Mobile,Electronics,2,20000,2024-02-11
1071,Laptop,Electronics,2,55000,2024-03-17
1048,Backpack,Accessories,5,1200,2024-05-06
1011,T-shirt,Fashion,4,700,2024-01-27
1001,Tablet,Electronics,1,15000,2024-03-11
1060,Headphones,Electronics,3,1500,2024-06-27
1007,T-shirt,Fashion,5,700,2024-06-08
1022,Watch,Accessories,3,2500,2024-05-22
1012,Keyboard,Electronics,2,1200,2024-06-14
1005,Laptop,Electronics,5,55000,2024-04-22
1061,Mobile,Electronics,1,20000,2024-05-08
1022,Headphones,Electronics,2,1500,2024-03-17
1038,Mobile,Electronics,4,20000,2024-04-29
1030,Shoes,Fashion,5,3000,2024-05-15
1060,Mouse,Electronics,4,500,2024-03-25
1074,Headphones,Electronics,2,1500,2024-06-27
1025,Headphones,Electronics,2,1500,2024-02-25
1043,Keyboard,Electronics,2,1200,2024-01-27
1023,Mobile,Electronics,3,20000,2024-04-16
1082,Tablet,Electronics,1,15000,2024-01-25
1090,Headphones,Electronics,2,1500,2024-03-01
1035,Mobile,Electronics,1,20000,2024-04-14
1055,Keyboard,Electronics,1,1200,2024-03-30
1026,Mobile,Electronics,1,20000,2024-03-16
1086,Keyboard,Electronics,1,1200,2024-01-10
1055,Laptop,Electronics,4,55000,2024-03-02
1036,Mouse,Electronics,1,500,2024-06-21
1034,Laptop,Electronics,1,55000,2024-06-27
1075,Keyboard,Electronics,4,1200,2024-02-26
1082,Tablet,Electronics,1,15000,2024-01-11
1025,Watch,Accessories,5,2500,2024-02-08
1080,Mouse,Electronics,4,500,2024-03-16
1062,Tablet,Electronics,2,15000,2024-04-05
1008,Headphones,Electronics,2,1500,2024-04-25
1084,Laptop,Electronics,4,55000,2024-05-07
1052,Headphones,Electronics,1,1500,2024-04-26
1024,Mobile,Electronics,3,20000,2024-05-14
1002,Shoes,Fashion,4,3000,2024-06-06
1025,Backpack,Accessories,2,1200,2024-05-05
1028,Watch,Accessories,2,2500,2024-06-10
1035,Mouse,Electronics,4,500,2024-04-16
1087,Backpack,Accessories,1,1200,2024-04-06
1044,Laptop,Electronics,1,55000,2024-03-05
1001,Headphones,Electronics,3,1500,2024-04-23
1090,Headphones,Electronics,2,1500,2024-01-10
1035,Keyboard,Electronics,1,1200,2024-03-27
1001,Tablet,Electronics,4,15000,2024-06-15
1090,Keyboard,Electronics,4,1200,2024-06-01
1020,Headphones,Electronics,1,1500,2024-04-23
1082,Mouse,Electronics,3,500,2024-01-23
1025,T-shirt,Fashion,2,700,2024-04-04
1005,Headphones,Electronics,4,1500,2024-06-04
1070,Mouse,Electronics,3,500,2024-02-15
1092,T-shirt,Fashion,5,700,2024-04-23
1036,Headphones,Electronics,5,1500,2024-05-07
1080,T-shirt,Fashion,1,700,2024-03-20
1060,Laptop,Electronics,2,55000,2024-06-04
1025,Tablet,Electronics,3,15000,2024-02-16
1073,Keyboard,Electronics,3,1200,2024-04-04
1052,Keyboard,Electronics,4,1200,2024-03-22
1041,Laptop,Electronics,1,55000,2024-05-24
1025,Backpack,Accessories,4,1200,2024-05-12
1034,Backpack,Accessories,2,1200,2024-04-15
1054,Tablet,Electronics,3,15000,2024-06-01
1004,Tablet,Electronics,4,15000,2024-02-03
1056,Shoes,Fashion,4,3000,2024-01-07
1033,Backpack,Accessories,1,1200,2024-06-09
1077,Headphones,Electronics,3,1500,2024-05-08
1039,Mobile,Electronics,3,20000,2024-01-01
1093,Watch,Accessories,2,2500,2024-02-04
1091,Keyboard,Electronics,2,1200,2024-01-24
1037,Keyboard,Electronics,2,1200,2024-06-28
1071,Tablet,Electronics,3,15000,2024-01-11
1010,Shoes,Fashion,3,3000,2024-05-26
1055,Mobile,Electronics,1,20000,2024-02-14
1086,Watch,Accessories,5,2500,2024-02-09
1052,Backpack,Accessories,5,1200,2024-03-07
1063,Mobile,Electronics,2,20000,2024-05-16
1040,Headphones,Electronics,1,1500,2024-01-26
1013,Mobile,Electronics,1,20000,2024-05-16
1058,Mobile,Electronics,1,20000,2024-02-17
1018,Backpack,Accessories,1,1200,2024-02-18
1059,Mobile,Electronics,2,20000,2024-03-11
1063,Headphones,Electronics,3,1500,2024-01-22
1014,T-shirt,Fashion,1,700,2024-04-23
1088,Watch,Accessories,3,2500,2024-04-08
1099,T-shirt,Fashion,4,700,2024-01-13
